row,step,epoch,G_lag,S_domain,ce_gap_raw,online_ce,recovered_ce,online_acc,recovered_acc,direction_imbalance,gradient_cosine,gradient_norm_ratio,identity,margin,consistency,rx_linear_acc,rx_mlp_acc
C2,3500,72,0.0,0.0,-63.20567202568054,2.664170503616333,65.86984252929688,0.0833333358168602,0.06666667014360428,0.19772256182083325,0.8022774381791667,211.16474645678548,0.9750000238418579,0.911257266998291,0.4711894989013672,0.21111111342906952,0.20000000298023224
C2,4000,82,0.0,0.0,-97.35485100746155,2.6621930599212646,100.01704406738281,0.06666667014360428,0.06666667014360428,0.20082427732728025,0.7991757226727197,97.13358478344804,0.9833333492279053,0.9075600504875183,0.45991939306259155,,
C2,4500,92,0.0,0.0,-76.0053505897522,2.6409354209899902,78.64628601074219,0.07222222536802292,0.06666667014360428,0.4091993035511069,0.5908006964488931,233.65796845225094,0.9833333492279053,0.8889071941375732,0.4901290535926819,,
C2,5000,103,0.0,0.0,-12.055784702301025,2.6472926139831543,14.70307731628418,0.07777778059244156,0.0833333358168602,0.8331660223569208,0.16683397764307914,2.6168778364290475,0.9833333492279053,0.8923385739326477,0.5189213156700134,,
C2,5250,108,0.0,0.0,-44.699498653411865,2.659132480621338,47.3586311340332,0.07222222536802292,0.07777778059244156,0.4652557467868693,0.5347442532131307,11.045682935208523,0.9833333492279053,0.9518845677375793,0.563984215259552,0.20000000298023224,0.20000000298023224
C2,5750,118,0.0,0.0,-65.05014824867249,2.672981023788452,67.72312927246094,0.06666667014360428,0.07777778059244156,0.5881999292092979,0.4118000707907022,7.744315190337929,0.9833333492279053,0.9515969753265381,0.5984451174736023,,
C2,6000,123,0.0,0.0,-50.9713990688324,2.656965494155884,53.62836456298828,0.08888889104127884,0.10000000149011612,0.8731870836147606,0.12681291638523937,1.570237934263899,0.9833333492279053,0.9594544172286987,0.6539542078971863,,
C2,6250,128,0.0,0.0,-26.1461763381958,2.6580629348754883,28.80423927307129,0.07777778059244156,0.07222222536802292,0.18227067927446927,0.8177293207255307,19.98770369415547,0.9833333492279053,0.9587468504905701,0.6242496967315674,,
C2,6750,138,0.0,0.0,-32.358882427215576,2.6566128730773926,35.01549530029297,0.08888889104127884,0.07222222536802292,0.3742339607919196,0.6257660392080804,2.7900492765981197,0.9833333492279053,0.9619739651679993,0.6661603450775146,0.20000000298023224,0.20000000298023224
C2,7000,143,0.0,0.0,-48.5632848739624,2.6717844009399414,51.235069274902344,0.0833333358168602,0.07222222536802292,0.7686753730877407,0.23132462691225933,8.69718354047152,0.9833333492279053,0.9619961977005005,0.6669753789901733,,
C2,7250,148,0.0,0.0,-28.01470637321472,2.6699326038360596,30.68463897705078,0.07777778059244156,0.07222222536802292,0.24075394882213497,0.759246051177865,4.037507507132933,0.9833333492279053,0.9734827280044556,0.6651778221130371,,
C2,7750,159,0.0,0.0,-35.01726031303406,2.6519558429718018,37.66921615600586,0.0833333358168602,0.06666667014360428,0.6953321660624041,0.30466783393759583,1.9279294159027909,0.9833333492279053,0.9713124632835388,0.752744734287262,,
C2,8000,164,0.0,0.0,-62.19980978965759,2.6551172733306885,64.85492706298828,0.06666667014360428,0.07777778059244156,0.5421167599446977,0.4578832400553024,1.5999965144384518,0.9833333492279053,0.9745224714279175,0.7741888165473938,0.1944444477558136,0.18888889253139496
C2,8250,169,0.0,0.0,-54.893428325653076,2.6499524116516113,57.54338073730469,0.07777778059244156,0.05000000074505806,0.6632604128684354,0.33673958713156465,7.136978244482791,0.9833333492279053,0.9696735143661499,0.7245752215385437,,
