row,scene,group_type,group_id,count,accuracy_percent,macro_recall_percent,macro_f1_percent,worst_tx_accuracy_percent
B1,leo_rain_weak,tx,0,4500,85.46666666666667,,,
B1,leo_rain_weak,tx,1,4500,60.86666666666667,,,
B1,leo_rain_weak,tx,2,4500,96.66666666666667,,,
B1,leo_rain_weak,tx,3,4500,66.77777777777779,,,
B1,leo_rain_weak,tx,4,4500,97.66666666666667,,,
B1,leo_rain_weak,tx,5,4500,98.55555555555556,,,
B2,clean,overall,all,27000,98.24444444444444,98.24444444444444,98.24263410461272,95.8
B2,clean,rx,1,5400,99.57407407407408,99.57407407407408,99.57393631607044,98.88888888888889
B2,clean,rx,3,5400,95.37037037037037,95.37037037037037,95.35438168311478,90.33333333333333
B2,clean,rx,4,5400,98.66666666666667,98.66666666666667,98.66528744510963,96.33333333333334
B2,clean,rx,6,5400,99.62962962962963,99.62962962962963,99.62923335205653,98.55555555555556
B2,clean,rx,8,5400,97.98148148148148,97.98148148148148,97.97635509237215,93.11111111111111
B2,clean,day,1,9000,98.24444444444444,98.24444444444444,98.24217829133438,95.46666666666667
B2,clean,day,2,9000,98.65555555555555,98.65555555555555,98.65405318489144,96.39999999999999
B2,clean,day,3,9000,97.83333333333334,97.83333333333334,97.83137059249604,95.53333333333333
B2,clean,tx,0,4500,98.44444444444444,,,
B2,clean,tx,1,4500,98.04444444444445,,,
B2,clean,tx,2,4500,99.06666666666666,,,
B2,clean,tx,3,4500,95.8,,,
B2,clean,tx,4,4500,98.88888888888889,,,
B2,clean,tx,5,4500,99.22222222222223,,,
B2,leo_clear_weak,overall,all,27000,89.52592592592593,89.52592592592592,89.47205638931965,79.37777777777778
B2,leo_clear_weak,rx,1,5400,96.11111111111111,96.11111111111113,96.09874901299854,87.66666666666667
B2,leo_clear_weak,rx,3,5400,78.46296296296296,78.46296296296296,78.118912463268,54.44444444444444
B2,leo_clear_weak,rx,4,5400,92.31481481481481,92.31481481481481,92.24784930125006,74.44444444444444
B2,leo_clear_weak,rx,6,5400,96.74074074074073,96.74074074074073,96.74005259663588,92.77777777777779
B2,leo_clear_weak,rx,8,5400,84.0,84.0,83.62547530387582,64.77777777777777
B2,leo_clear_weak,day,1,9000,88.76666666666667,88.76666666666667,88.71437031271614,76.53333333333333
B2,leo_clear_weak,day,2,9000,90.22222222222223,90.22222222222221,90.15872346587042,77.26666666666667
B2,leo_clear_weak,day,3,9000,89.58888888888889,89.58888888888889,89.51959552685467,80.13333333333334
B2,leo_clear_weak,tx,0,4500,79.37777777777778,,,
B2,leo_clear_weak,tx,1,4500,83.77777777777777,,,
B2,leo_clear_weak,tx,2,4500,98.28888888888889,,,
B2,leo_clear_weak,tx,3,4500,80.22222222222221,,,
B2,leo_clear_weak,tx,4,4500,96.64444444444445,,,
B2,leo_clear_weak,tx,5,4500,98.84444444444445,,,
B2,leo_low_elev_weak,overall,all,27000,85.63703703703703,85.63703703703705,85.46165544194156,72.02222222222223
B2,leo_low_elev_weak,rx,1,5400,91.98148148148148,91.98148148148148,91.90225006244543,78.88888888888889
B2,leo_low_elev_weak,rx,3,5400,76.11111111111111,76.11111111111111,75.41220296118333,51.44444444444445
B2,leo_low_elev_weak,rx,4,5400,86.72222222222223,86.72222222222223,86.48739606005522,61.22222222222222
B2,leo_low_elev_weak,rx,6,5400,93.12962962962963,93.12962962962963,93.12393464378576,86.22222222222223
B2,leo_low_elev_weak,rx,8,5400,80.24074074074075,80.24074074074075,79.53740569322264,53.44444444444445
B2,leo_low_elev_weak,day,1,9000,84.5,84.50000000000001,84.30668414728517,66.4
B2,leo_low_elev_weak,day,2,9000,86.55555555555556,86.55555555555554,86.36672433510797,70.53333333333333
B2,leo_low_elev_weak,day,3,9000,85.85555555555555,85.85555555555557,85.68111332636464,72.66666666666667
B2,leo_low_elev_weak,tx,0,4500,73.6,,,
B2,leo_low_elev_weak,tx,1,4500,77.73333333333333,,,
B2,leo_low_elev_weak,tx,2,4500,97.17777777777778,,,
B2,leo_low_elev_weak,tx,3,4500,72.02222222222223,,,
B2,leo_low_elev_weak,tx,4,4500,94.97777777777779,,,
B2,leo_low_elev_weak,tx,5,4500,98.31111111111112,,,
B2,leo_rain_weak,overall,all,27000,85.62592592592593,85.62592592592591,85.45162938335507,69.44444444444444
B2,leo_rain_weak,rx,1,5400,92.72222222222221,92.72222222222224,92.65224374321527,82.66666666666667
B2,leo_rain_weak,rx,3,5400,76.38888888888889,76.38888888888889,75.8780887278842,48.55555555555556
B2,leo_rain_weak,rx,4,5400,87.12962962962963,87.12962962962963,87.02834856533381,69.77777777777779
B2,leo_rain_weak,rx,6,5400,91.7962962962963,91.7962962962963,91.78128426316697,83.0
B2,leo_rain_weak,rx,8,5400,80.0925925925926,80.09259259259261,79.29246805074906,53.0
B2,leo_rain_weak,day,1,9000,85.39999999999999,85.39999999999999,85.23908559504716,68.66666666666667
B2,leo_rain_weak,day,2,9000,86.24444444444444,86.24444444444444,86.08308386193043,71.8
B2,leo_rain_weak,day,3,9000,85.23333333333333,85.23333333333333,85.00419073223853,67.86666666666666
B2,leo_rain_weak,tx,0,4500,77.33333333333333,,,
B2,leo_rain_weak,tx,1,4500,75.91111111111111,,,
B2,leo_rain_weak,tx,2,4500,97.39999999999999,,,
B2,leo_rain_weak,tx,3,4500,69.44444444444444,,,
B2,leo_rain_weak,tx,4,4500,95.19999999999999,,,
B2,leo_rain_weak,tx,5,4500,98.46666666666667,,,
B3,clean,overall,all,27000,97.72592592592592,97.72592592592592,97.72014755576141,93.77777777777779
B3,clean,rx,1,5400,99.31481481481481,99.31481481481481,99.31426289692715,97.88888888888889
B3,clean,rx,3,5400,94.4074074074074,94.40740740740739,94.37312153176326,86.0
B3,clean,rx,4,5400,98.53703703703704,98.53703703703704,98.53526125530361,96.11111111111111
B3,clean,rx,6,5400,99.48148148148148,99.48148148148147,99.48096732726735,98.11111111111111
B3,clean,rx,8,5400,96.88888888888889,96.88888888888889,96.86386029025243,87.8888888888889
B3,clean,day,1,9000,97.7,97.7,97.69443992258977,93.4
B3,clean,day,2,9000,98.05555555555556,98.05555555555556,98.0513302803717,94.06666666666666
B3,clean,day,3,9000,97.42222222222222,97.42222222222222,97.41500537574575,93.86666666666666
B3,clean,tx,0,4500,98.13333333333333,,,
B3,clean,tx,1,4500,97.2,,,
B3,clean,tx,2,4500,99.04444444444445,,,
B3,clean,tx,3,4500,93.77777777777779,,,
B3,clean,tx,4,4500,99.0,,,
B3,clean,tx,5,4500,99.2,,,
B3,leo_clear_weak,overall,all,27000,82.41851851851851,82.41851851851852,82.05351617457347,61.93333333333333
B3,leo_clear_weak,rx,1,5400,91.5,91.5,91.37278082634084,76.33333333333333
B3,leo_clear_weak,rx,3,5400,70.12962962962963,70.12962962962965,68.5646380258475,36.666666666666664
B3,leo_clear_weak,rx,4,5400,85.87037037037038,85.87037037037038,84.9774227171641,45.33333333333333
B3,leo_clear_weak,rx,6,5400,92.77777777777779,92.77777777777779,92.68423655396637,77.44444444444444
B3,leo_clear_weak,rx,8,5400,71.81481481481482,71.81481481481482,70.45130228916815,38.88888888888889
B3,leo_clear_weak,day,1,9000,81.69999999999999,81.7,81.23645839453813,59.13333333333334
B3,leo_clear_weak,day,2,9000,83.12222222222222,83.12222222222222,82.72305193839978,60.4
B3,leo_clear_weak,day,3,9000,82.43333333333334,82.43333333333335,82.1553604386751,66.26666666666667
B3,leo_clear_weak,tx,0,4500,61.93333333333333,,,
B3,leo_clear_weak,tx,1,4500,75.35555555555555,,,
B3,leo_clear_weak,tx,2,4500,96.75555555555555,,,
B3,leo_clear_weak,tx,3,4500,67.11111111111111,,,
B3,leo_clear_weak,tx,4,4500,94.95555555555556,,,
B3,leo_clear_weak,tx,5,4500,98.4,,,
B3,leo_low_elev_weak,overall,all,27000,78.54074074074074,78.54074074074072,77.96992048004454,57.37777777777778
B3,leo_low_elev_weak,rx,1,5400,86.16666666666667,86.16666666666667,85.79968668359554,63.0
B3,leo_low_elev_weak,rx,3,5400,68.44444444444444,68.44444444444446,66.56774948529208,32.22222222222222
B3,leo_low_elev_weak,rx,4,5400,81.24074074074073,81.24074074074073,80.15226996552933,38.44444444444444
B3,leo_low_elev_weak,rx,6,5400,87.79629629629629,87.79629629629629,87.68487220297935,72.44444444444444
B3,leo_low_elev_weak,rx,8,5400,69.05555555555556,69.05555555555554,67.30681002240114,34.66666666666667
B3,leo_low_elev_weak,day,1,9000,77.12222222222222,77.12222222222222,76.45826583224876,53.0
B3,leo_low_elev_weak,day,2,9000,80.32222222222222,80.32222222222222,79.752735257683,56.266666666666666
B3,leo_low_elev_weak,day,3,9000,78.17777777777778,78.17777777777778,77.65278645222409,60.333333333333336
B3,leo_low_elev_weak,tx,0,4500,57.37777777777778,,,
B3,leo_low_elev_weak,tx,1,4500,69.26666666666667,,,
B3,leo_low_elev_weak,tx,2,4500,95.04444444444444,,,
B3,leo_low_elev_weak,tx,3,4500,59.24444444444445,,,
B3,leo_low_elev_weak,tx,4,4500,92.93333333333334,,,
B3,leo_low_elev_weak,tx,5,4500,97.37777777777778,,,
B3,leo_rain_weak,overall,all,27000,78.60740740740741,78.60740740740741,78.03249922357006,57.22222222222222
B3,leo_rain_weak,rx,1,5400,87.48148148148148,87.48148148148148,87.11564372791284,67.55555555555556
B3,leo_rain_weak,rx,3,5400,68.24074074074075,68.24074074074075,66.67937308985363,35.888888888888886
B3,leo_rain_weak,rx,4,5400,80.87037037037037,80.87037037037037,80.03471417947833,43.333333333333336
B3,leo_rain_weak,rx,6,5400,87.07407407407408,87.07407407407408,86.92739110402626,72.33333333333334
B3,leo_rain_weak,rx,8,5400,69.37037037037037,69.37037037037037,67.56241002981396,35.77777777777777
B3,leo_rain_weak,day,1,9000,78.48888888888888,78.48888888888888,77.85261993279745,56.00000000000001
B3,leo_rain_weak,day,2,9000,79.60000000000001,79.6,79.02811442800301,58.53333333333334
B3,leo_rain_weak,day,3,9000,77.73333333333333,77.73333333333333,77.17282729414828,56.46666666666667
B3,leo_rain_weak,tx,0,4500,60.02222222222222,,,
B3,leo_rain_weak,tx,1,4500,67.06666666666666,,,
B3,leo_rain_weak,tx,2,4500,95.02222222222223,,,
B3,leo_rain_weak,tx,3,4500,57.22222222222222,,,
B3,leo_rain_weak,tx,4,4500,94.17777777777778,,,
B3,leo_rain_weak,tx,5,4500,98.13333333333333,,,
B3_lr_high,clean,overall,all,27000,98.4148148148148,98.41481481481482,98.41402771702079,96.77777777777777
B3_lr_high,clean,rx,1,5400,99.59259259259258,99.5925925925926,99.59243755689667,99.11111111111111
B3_lr_high,clean,rx,3,5400,96.22222222222221,96.22222222222221,96.21849103045986,94.33333333333334
B3_lr_high,clean,rx,4,5400,98.51851851851852,98.51851851851853,98.51567730768683,96.0
B3_lr_high,clean,rx,6,5400,99.70370370370371,99.70370370370371,99.70327679913242,98.66666666666667
B3_lr_high,clean,rx,8,5400,98.03703703703704,98.03703703703704,98.03311184976367,94.22222222222221
B3_lr_high,clean,day,1,9000,98.33333333333333,98.33333333333333,98.33199587045613,95.86666666666666
B3_lr_high,clean,day,2,9000,98.74444444444444,98.74444444444444,98.74410135409431,97.53333333333333
B3_lr_high,clean,day,3,9000,98.16666666666667,98.16666666666666,98.16540303515865,96.93333333333334
B3_lr_high,clean,tx,0,4500,98.57777777777777,,,
B3_lr_high,clean,tx,1,4500,98.0,,,
B3_lr_high,clean,tx,2,4500,98.82222222222222,,,
B3_lr_high,clean,tx,3,4500,96.77777777777777,,,
B3_lr_high,clean,tx,4,4500,99.11111111111111,,,
B3_lr_high,clean,tx,5,4500,99.2,,,
B3_lr_high,leo_clear_weak,overall,all,27000,92.64444444444445,92.64444444444445,92.65479112084383,85.35555555555555
B3_lr_high,leo_clear_weak,rx,1,5400,97.57407407407406,97.57407407407408,97.56966443591696,93.55555555555556
B3_lr_high,leo_clear_weak,rx,3,5400,85.37037037037038,85.37037037037038,85.31765260940077,70.11111111111111
B3_lr_high,leo_clear_weak,rx,4,5400,94.0,94.0,93.96839839471018,77.77777777777779
B3_lr_high,leo_clear_weak,rx,6,5400,97.62962962962963,97.62962962962963,97.63220657822113,94.77777777777779
B3_lr_high,leo_clear_weak,rx,8,5400,88.64814814814815,88.64814814814815,88.53124592751885,72.0
B3_lr_high,leo_clear_weak,day,1,9000,92.42222222222222,92.42222222222222,92.43768521276202,82.26666666666667
B3_lr_high,leo_clear_weak,day,2,9000,93.32222222222222,93.32222222222222,93.31794587888088,83.39999999999999
B3_lr_high,leo_clear_weak,day,3,9000,92.18888888888888,92.18888888888891,92.18951256270641,84.13333333333334
B3_lr_high,leo_clear_weak,tx,0,4500,85.53333333333333,,,
B3_lr_high,leo_clear_weak,tx,1,4500,89.84444444444445,,,
B3_lr_high,leo_clear_weak,tx,2,4500,97.31111111111112,,,
B3_lr_high,leo_clear_weak,tx,3,4500,85.35555555555555,,,
B3_lr_high,leo_clear_weak,tx,4,4500,98.6888888888889,,,
B3_lr_high,leo_clear_weak,tx,5,4500,99.13333333333333,,,
B3_lr_high,leo_low_elev_weak,overall,all,27000,89.21111111111111,89.21111111111112,89.1833203627412,78.44444444444446
B3_lr_high,leo_low_elev_weak,rx,1,5400,93.5925925925926,93.59259259259258,93.58361017226397,80.77777777777779
B3_lr_high,leo_low_elev_weak,rx,3,5400,82.64814814814815,82.64814814814815,82.42974509122443,64.11111111111111
B3_lr_high,leo_low_elev_weak,rx,4,5400,90.22222222222223,90.22222222222224,90.07690281813377,65.88888888888889
B3_lr_high,leo_low_elev_weak,rx,6,5400,94.38888888888889,94.38888888888889,94.39369573167896,86.33333333333333
B3_lr_high,leo_low_elev_weak,rx,8,5400,85.20370370370371,85.20370370370371,84.90394930941272,67.22222222222223
B3_lr_high,leo_low_elev_weak,day,1,9000,88.58888888888889,88.58888888888889,88.58177925649143,74.66666666666667
B3_lr_high,leo_low_elev_weak,day,2,9000,89.98888888888888,89.9888888888889,89.93242467310604,76.73333333333333
B3_lr_high,leo_low_elev_weak,day,3,9000,89.05555555555556,89.05555555555554,89.02403581632657,79.06666666666666
B3_lr_high,leo_low_elev_weak,tx,0,4500,78.44444444444446,,,
B3_lr_high,leo_low_elev_weak,tx,1,4500,86.04444444444445,,,
B3_lr_high,leo_low_elev_weak,tx,2,4500,95.24444444444444,,,
B3_lr_high,leo_low_elev_weak,tx,3,4500,78.68888888888888,,,
B3_lr_high,leo_low_elev_weak,tx,4,4500,97.95555555555555,,,
B3_lr_high,leo_low_elev_weak,tx,5,4500,98.88888888888889,,,
B3_lr_high,leo_rain_weak,overall,all,27000,88.9962962962963,88.99629629629628,88.950722610707,76.0
B3_lr_high,leo_rain_weak,rx,1,5400,94.31481481481482,94.31481481481482,94.2670258552387,83.22222222222221
B3_lr_high,leo_rain_weak,rx,3,5400,82.22222222222221,82.22222222222223,82.0668116394462,61.88888888888889
