variant,scene,category,group,correct,wrong,total,accuracy_percent
U1,leo_clear_weak,receiver_all_days,5,17410,6590,24000,72.54166666666667
U1,leo_clear_weak,receiver_all_days,6,5195,805,6000,86.58333333333333
U1,leo_clear_weak,receiver_all_days,7,10744,13256,24000,44.766666666666666
U1,leo_clear_weak,receiver_all_days,8,4578,1422,6000,76.3
U1,leo_clear_weak,receiver_all_days,9,16544,7456,24000,68.93333333333334
U1,leo_clear_weak,receiver_all_days,10,15178,8822,24000,63.24166666666667
U1,leo_clear_weak,receiver_all_days,11,15575,8425,24000,64.89583333333333
U1,leo_clear_weak,class,0,24136,8864,33000,73.13939393939394
U1,leo_clear_weak,class,1,10367,22633,33000,31.415151515151514
U1,leo_clear_weak,class,2,15190,17810,33000,46.03030303030303
U1,leo_clear_weak,class,3,20887,12113,33000,63.2939393939394
U1,leo_clear_weak,class,4,25892,7108,33000,78.46060606060605
U1,leo_clear_weak,class,5,30388,2612,33000,92.08484848484848
U1,leo_low_elev_weak,aggregate,all,121790,76210,198000,61.51010101010101
U1,leo_low_elev_weak,named,test_unseen_day_seen_rx,22652,7348,30000,75.50666666666666
U1,leo_low_elev_weak,named,test_day_0,22652,7348,30000,75.50666666666666
U1,leo_low_elev_weak,named,test_seen_day_unseen_rx,75087,50913,126000,59.59285714285714
U1,leo_low_elev_weak,named,test_rx_0,12608,5392,18000,70.04444444444445
U1,leo_low_elev_weak,named,test_rx_2,8240,9760,18000,45.77777777777778
U1,leo_low_elev_weak,named,test_rx_5,13048,4952,18000,72.4888888888889
U1,leo_low_elev_weak,named,test_rx_7,7375,10625,18000,40.97222222222222
U1,leo_low_elev_weak,named,test_rx_9,12289,5711,18000,68.27222222222223
U1,leo_low_elev_weak,named,test_rx_10,10429,7571,18000,57.93888888888889
U1,leo_low_elev_weak,named,test_rx_11,11098,6902,18000,61.65555555555556
U1,leo_low_elev_weak,named,test_unseen_day_unseen_rx,24051,17949,42000,57.26428571428571
U1,leo_low_elev_weak,named,test_unseen_day_rx_0,3497,2503,6000,58.28333333333333
U1,leo_low_elev_weak,named,test_unseen_day_rx_2,2403,3597,6000,40.05
U1,leo_low_elev_weak,named,test_unseen_day_rx_5,3577,2423,6000,59.61666666666667
U1,leo_low_elev_weak,named,test_unseen_day_rx_7,3091,2909,6000,51.516666666666666
U1,leo_low_elev_weak,named,test_unseen_day_rx_9,3677,2323,6000,61.28333333333333
U1,leo_low_elev_weak,named,test_unseen_day_rx_10,3981,2019,6000,66.35
U1,leo_low_elev_weak,named,test_unseen_day_rx_11,3825,2175,6000,63.75
U1,leo_low_elev_weak,receiver_all_days,0,16105,7895,24000,67.10416666666667
U1,leo_low_elev_weak,receiver_all_days,1,4148,1852,6000,69.13333333333334
U1,leo_low_elev_weak,receiver_all_days,2,10643,13357,24000,44.34583333333333
U1,leo_low_elev_weak,receiver_all_days,3,4163,1837,6000,69.38333333333334
U1,leo_low_elev_weak,receiver_all_days,4,5079,921,6000,84.65
U1,leo_low_elev_weak,receiver_all_days,5,16625,7375,24000,69.27083333333333
U1,leo_low_elev_weak,receiver_all_days,6,4961,1039,6000,82.68333333333334
U1,leo_low_elev_weak,receiver_all_days,7,10466,13534,24000,43.608333333333334
U1,leo_low_elev_weak,receiver_all_days,8,4301,1699,6000,71.68333333333334
U1,leo_low_elev_weak,receiver_all_days,9,15966,8034,24000,66.525
U1,leo_low_elev_weak,receiver_all_days,10,14410,9590,24000,60.041666666666664
U1,leo_low_elev_weak,receiver_all_days,11,14923,9077,24000,62.17916666666667
U1,leo_low_elev_weak,class,0,23906,9094,33000,72.44242424242424
U1,leo_low_elev_weak,class,1,9574,23426,33000,29.01212121212121
U1,leo_low_elev_weak,class,2,14423,18577,33000,43.7060606060606
U1,leo_low_elev_weak,class,3,18971,14029,33000,57.487878787878785
U1,leo_low_elev_weak,class,4,24772,8228,33000,75.06666666666666
U1,leo_low_elev_weak,class,5,30144,2856,33000,91.34545454545454
U1,leo_rain_weak,aggregate,all,122158,75842,198000,61.69595959595959
U1,leo_rain_weak,named,test_unseen_day_seen_rx,22803,7197,30000,76.01
U1,leo_rain_weak,named,test_day_0,22803,7197,30000,76.01
U1,leo_rain_weak,named,test_seen_day_unseen_rx,75433,50567,126000,59.86746031746032
U1,leo_rain_weak,named,test_rx_0,12579,5421,18000,69.88333333333334
U1,leo_rain_weak,named,test_rx_2,8207,9793,18000,45.59444444444444
U1,leo_rain_weak,named,test_rx_5,13279,4721,18000,73.77222222222223
U1,leo_rain_weak,named,test_rx_7,7422,10578,18000,41.233333333333334
U1,leo_rain_weak,named,test_rx_9,12291,5709,18000,68.28333333333333
U1,leo_rain_weak,named,test_rx_10,10439,7561,18000,57.99444444444445
