variant,scene,true_tx,predicted_tx,count
U1_mask_off,leo_low_elev_weak,0,2,557
U1_mask_off,leo_low_elev_weak,0,3,10336
U1_mask_off,leo_low_elev_weak,0,4,403
U1_mask_off,leo_low_elev_weak,0,5,123
U1_mask_off,leo_low_elev_weak,1,0,1875
U1_mask_off,leo_low_elev_weak,1,1,8629
U1_mask_off,leo_low_elev_weak,1,2,84
U1_mask_off,leo_low_elev_weak,1,3,21729
U1_mask_off,leo_low_elev_weak,1,4,595
U1_mask_off,leo_low_elev_weak,1,5,88
U1_mask_off,leo_low_elev_weak,2,0,3089
U1_mask_off,leo_low_elev_weak,2,1,1650
U1_mask_off,leo_low_elev_weak,2,2,15401
U1_mask_off,leo_low_elev_weak,2,3,4269
U1_mask_off,leo_low_elev_weak,2,4,2834
U1_mask_off,leo_low_elev_weak,2,5,5757
U1_mask_off,leo_low_elev_weak,3,0,4627
U1_mask_off,leo_low_elev_weak,3,1,4698
U1_mask_off,leo_low_elev_weak,3,2,874
U1_mask_off,leo_low_elev_weak,3,3,22066
U1_mask_off,leo_low_elev_weak,3,4,427
U1_mask_off,leo_low_elev_weak,3,5,308
U1_mask_off,leo_low_elev_weak,4,0,339
U1_mask_off,leo_low_elev_weak,4,1,1393
U1_mask_off,leo_low_elev_weak,4,2,170
U1_mask_off,leo_low_elev_weak,4,3,5505
U1_mask_off,leo_low_elev_weak,4,4,25394
U1_mask_off,leo_low_elev_weak,4,5,199
U1_mask_off,leo_low_elev_weak,5,0,164
U1_mask_off,leo_low_elev_weak,5,1,224
U1_mask_off,leo_low_elev_weak,5,2,237
U1_mask_off,leo_low_elev_weak,5,3,68
U1_mask_off,leo_low_elev_weak,5,4,1212
U1_mask_off,leo_low_elev_weak,5,5,31095
U1_mask_off,leo_rain_weak,0,0,20087
U1_mask_off,leo_rain_weak,0,1,2156
U1_mask_off,leo_rain_weak,0,2,562
U1_mask_off,leo_rain_weak,0,3,9670
U1_mask_off,leo_rain_weak,0,4,431
U1_mask_off,leo_rain_weak,0,5,94
U1_mask_off,leo_rain_weak,1,0,2192
