run_id,candidate,diagnostic_status,successful_rows,expected_rows,row_coverage,scene_slices,arm,old_before,old_after,old_gain,seen_new,h,ba,floor,min_old,min_new,forgetting,old_to_new,new_to_old,mean_i_syn,positive_i_syn_slices,zero_i_syn_slices,negative_i_syn_slices
adv3b02_ts_drqknn_bcrr_r5_q2f32_bcr3_zidtotal1_qzero1_full125_1b2359b4_20260724_050526,ADV3B02-TS-DRQKNN-BCRR/r5-q2f32-bcr3-zidtotal1-qzero1,PARTIAL_MATRIX_DIAGNOSTIC,49,125,0.392,147,M0,0.7423469387755102,0.4431972789115647,-0.2991496598639456,0.22993197278911567,0.2942928935886052,0.29085438371152655,0.019727891156462587,0.10442176870748299,0.02142857142857143,0.2991496598639456,0.43452380952380953,0.2779761904761905,0.0,0,147,0
adv3b02_ts_drqknn_bcrr_r5_q2f32_bcr3_zidtotal1_qzero1_full125_1b2359b4_20260724_050526,ADV3B02-TS-DRQKNN-BCRR/r5-q2f32-bcr3-zidtotal1-qzero1,PARTIAL_MATRIX_DIAGNOSTIC,49,125,0.392,147,M_DA,0.7435374149659864,0.4444444444444445,-0.29909297052154193,0.2295748299319728,0.2943250380777442,0.29113223086437373,0.01904761904761905,0.10476190476190475,0.02074829931972789,0.29909297052154193,0.43441043083900227,0.2778061224489796,0.0,0,147,0
adv3b02_ts_drqknn_bcrr_r5_q2f32_bcr3_zidtotal1_qzero1_full125_1b2359b4_20260724_050526,ADV3B02-TS-DRQKNN-BCRR/r5-q2f32-bcr3-zidtotal1-qzero1,PARTIAL_MATRIX_DIAGNOSTIC,49,125,0.392,147,M_OTHER,0.7493764172335601,0.4431972789115647,-0.30617913832199545,0.22993197278911567,0.2942928935886052,0.29085438371152655,0.019727891156462587,0.10442176870748299,0.02142857142857143,0.30617913832199545,0.43452380952380953,0.2779761904761905,0.0,0,147,0
adv3b02_ts_drqknn_bcrr_r5_q2f32_bcr3_zidtotal1_qzero1_full125_1b2359b4_20260724_050526,ADV3B02-TS-DRQKNN-BCRR/r5-q2f32-bcr3-zidtotal1-qzero1,PARTIAL_MATRIX_DIAGNOSTIC,49,125,0.392,147,M_JOINT,0.7492063492063492,0.4444444444444445,-0.3047619047619048,0.2295748299319728,0.2943250380777442,0.29113223086437373,0.01904761904761905,0.10476190476190475,0.02074829931972789,0.3047619047619048,0.43441043083900227,0.2778061224489796,0.0,0,147,0
adv3b02_ts_drqknn_bcrr_r6_matchedaudit1_prepfix1_full125_a526d6b5_20260724_064819,ADV3B02-TS-DRQKNN-BCRR/r6-matchedaudit1,PARTIAL_MATRIX_DIAGNOSTIC,124,125,0.992,372,M0,0.7260976702508961,0.43082437275985663,-0.2952732974910394,0.23538306451612903,0.2931766336479922,0.2923168565305662,0.023118279569892472,0.11223118279569892,0.026344086021505377,0.2952732974910394,0.44045698924731186,0.2931989247311828,0.0,0,372,0
adv3b02_ts_drqknn_bcrr_r6_matchedaudit1_prepfix1_full125_a526d6b5_20260724_064819,ADV3B02-TS-DRQKNN-BCRR/r6-matchedaudit1,PARTIAL_MATRIX_DIAGNOSTIC,124,125,0.992,372,M_DA,0.7266801075268817,0.4312275985663082,-0.2954525089605735,0.23491263440860216,0.2929087317341989,0.29230916093315285,0.0228494623655914,0.11249999999999999,0.025940860215053766,0.2954525089605735,0.44065860215053765,0.2933266129032258,0.0,0,372,0
adv3b02_ts_drqknn_bcrr_r6_matchedaudit1_prepfix1_full125_a526d6b5_20260724_064819,ADV3B02-TS-DRQKNN-BCRR/r6-matchedaudit1,PARTIAL_MATRIX_DIAGNOSTIC,124,125,0.992,372,M_OTHER,0.7314292114695341,0.43082437275985663,-0.3006048387096774,0.23538306451612903,0.2931766336479922,0.2923168565305662,0.023118279569892472,0.11223118279569892,0.026344086021505377,0.3006048387096774,0.44045698924731186,0.2931989247311828,0.0,0,372,0
adv3b02_ts_drqknn_bcrr_r6_matchedaudit1_prepfix1_full125_a526d6b5_20260724_064819,ADV3B02-TS-DRQKNN-BCRR/r6-matchedaudit1,PARTIAL_MATRIX_DIAGNOSTIC,124,125,0.992,372,M_JOINT,0.7311379928315412,0.4312275985663082,-0.29991039426523297,0.23491263440860216,0.2929087317341989,0.29230916093315285,0.0228494623655914,0.11249999999999999,0.025940860215053766,0.29991039426523297,0.44065860215053765,0.2933266129032258,0.0,0,372,0
adv3b02_ts_drqknn_bcrr_r7_q3support1_full125_7613bf19_20260724_081350,,NO_PERFORMANCE_ROWS,0,125,0.0,0,M0,,,,,,,,,,,,,,0,0,0
adv3b02_ts_drqknn_bcrr_r7_q3support1_full125_7613bf19_20260724_081350,,NO_PERFORMANCE_ROWS,0,125,0.0,0,M_DA,,,,,,,,,,,,,,0,0,0
adv3b02_ts_drqknn_bcrr_r7_q3support1_full125_7613bf19_20260724_081350,,NO_PERFORMANCE_ROWS,0,125,0.0,0,M_OTHER,,,,,,,,,,,,,,0,0,0
adv3b02_ts_drqknn_bcrr_r7_q3support1_full125_7613bf19_20260724_081350,,NO_PERFORMANCE_ROWS,0,125,0.0,0,M_JOINT,,,,,,,,,,,,,,0,0,0
adv3b02_ts_drqknn_bcrr_r8_bcrmaskidentity1_artifactsfresh1_full125_0dbfcfe4_20260724_090452,ADV3B02-TS-DRQKNN-BCRR/r8-bcrmaskidentity1,COMPLETE_MATRIX_PERFORMANCE,125,125,1.0,375,M0,0.7259555555555555,0.43022222222222223,-0.29573333333333335,0.23486,0.2926713897120007,0.2916808857808858,0.022933333333333333,0.11173333333333334,0.02613333333333333,0.29573333333333335,0.44102222222222226,0.29228000000000004,0.0,0,375,0
adv3b02_ts_drqknn_bcrr_r8_bcrmaskidentity1_artifactsfresh1_full125_0dbfcfe4_20260724_090452,ADV3B02-TS-DRQKNN-BCRR/r8-bcrmaskidentity1,COMPLETE_MATRIX_PERFORMANCE,125,125,1.0,375,M_DA,0.7265555555555555,0.43060000000000004,-0.2959555555555556,0.2344,0.2924070180253297,0.29167325174825176,0.02266666666666667,0.112,0.025733333333333334,0.2959555555555556,0.44126666666666664,0.2924066666666667,0.0,0,375,0
adv3b02_ts_drqknn_bcrr_r8_bcrmaskidentity1_artifactsfresh1_full125_0dbfcfe4_20260724_090452,ADV3B02-TS-DRQKNN-BCRR/r8-bcrmaskidentity1,COMPLETE_MATRIX_PERFORMANCE,125,125,1.0,375,M_OTHER,0.7312444444444444,0.43022222222222223,-0.30102222222222225,0.23486,0.2926713897120007,0.2916808857808858,0.022933333333333333,0.11173333333333334,0.02613333333333333,0.30102222222222225,0.44102222222222226,0.29228000000000004,0.0,0,375,0
adv3b02_ts_drqknn_bcrr_r8_bcrmaskidentity1_artifactsfresh1_full125_0dbfcfe4_20260724_090452,ADV3B02-TS-DRQKNN-BCRR/r8-bcrmaskidentity1,COMPLETE_MATRIX_PERFORMANCE,125,125,1.0,375,M_JOINT,0.7310444444444445,0.43060000000000004,-0.30044444444444446,0.2344,0.2924070180253297,0.29167325174825176,0.02266666666666667,0.112,0.025733333333333334,0.30044444444444446,0.44126666666666664,0.2924066666666667,0.0,0,375,0
