arm,adapter_epoch,resource_tier,receiver,seed,k_shot,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,old_to_seen_new_rate,seen_new_to_old_rate,min_old_class_acc,min_seen_new_class_acc,run_dir
E10,10,EXTREME_LIGHT_PREFERRED,20-1,713105,5,0.8305555555555554,0.8111111111111112,0.6999999999999998,0.7444280875693835,0.019444444444444414,0.03888888888888889,0.19999999999999998,0.6166666666666667,0.4,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_20-1\seed_713105\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713101,1,0.5694444444444445,0.4777777777777777,0.35833333333333334,0.40736577529288115,0.09166666666666667,0.16666666666666666,0.5166666666666667,0.2833333333333333,0.16666666666666666,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713101\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713101,10,0.7277777777777777,0.65,0.5499999999999999,0.5953423098863396,0.07777777777777779,0.10833333333333334,0.30833333333333335,0.31666666666666665,0.4166666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713101\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713101,2,0.65,0.563888888888889,0.325,0.41214060400724345,0.08611111111111108,0.13055555555555554,0.5750000000000001,0.15,0.16666666666666666,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713101\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713101,20,0.7277777777777779,0.6722222222222222,0.6166666666666667,0.6430892753566676,0.05555555555555558,0.09722222222222222,0.2583333333333333,0.38333333333333336,0.5333333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713101\k_20\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713101,5,0.7111111111111111,0.6166666666666666,0.375,0.46600028037020796,0.09444444444444444,0.11388888888888889,0.4749999999999999,0.26666666666666666,0.18333333333333332,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713101\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713102,1,0.5555555555555557,0.47222222222222215,0.39999999999999997,0.4143989014706971,0.08333333333333338,0.225,0.4583333333333333,0.16666666666666666,0.18333333333333332,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713102\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713102,10,0.7611111111111111,0.6777777777777777,0.625,0.6502165287542647,0.08333333333333333,0.10833333333333334,0.2416666666666667,0.38333333333333336,0.45,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713102\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713102,2,0.6944444444444443,0.6055555555555555,0.425,0.4959866525423729,0.0888888888888889,0.11944444444444445,0.4083333333333334,0.3,0.23333333333333334,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713102\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713102,20,0.7416666666666667,0.6722222222222222,0.6666666666666666,0.6694274028629857,0.06944444444444446,0.09444444444444444,0.225,0.4166666666666667,0.6,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713102\k_20\cvs_qknnv42
