arm,adapter_epoch,receiver,seed,k_shot,scenario,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,head_macs,persistent_state_bytes,scoring_latency_per_query_ms
E10,10,3-19,713102,5,leo_clear_weak,0.75,0.6916666666666667,0.525,0.5969178082191781,0.05833333333333335,2703360,42849,0.010996378841809928
E10,10,3-19,713102,5,leo_low_elev_weak,0.7166666666666667,0.6666666666666666,0.425,0.5190839694656489,0.050000000000000044,2703360,42849,0.00880036677699536
E10,10,3-19,713102,5,leo_rain_weak,0.6666666666666666,0.6083333333333333,0.575,0.5911971830985916,0.05833333333333335,2703360,42849,0.009184653754346073
E10,10,3-19,713103,1,leo_clear_weak,0.6416666666666667,0.5083333333333333,0.475,0.4911016949152542,0.13333333333333341,901120,31201,0.008628869545646012
E10,10,3-19,713103,1,leo_low_elev_weak,0.5833333333333334,0.44166666666666665,0.35,0.39052631578947367,0.14166666666666672,901120,31201,0.006946039502508938
E10,10,3-19,713103,1,leo_rain_weak,0.6083333333333333,0.45,0.525,0.4846153846153846,0.15833333333333327,901120,31201,0.006568824755959213
E10,10,3-19,713103,10,leo_clear_weak,0.6666666666666666,0.6083333333333333,0.775,0.6816265060240964,0.05833333333333335,4956160,57409,0.03041624731849879
E10,10,3-19,713103,10,leo_low_elev_weak,0.7083333333333334,0.625,0.475,0.5397727272727272,0.08333333333333337,4956160,57409,0.029510361491702497
E10,10,3-19,713103,10,leo_rain_weak,0.7083333333333334,0.65,0.55,0.5958333333333333,0.05833333333333335,4956160,57409,0.02969186461996287
E10,10,3-19,713103,2,leo_clear_weak,0.5666666666666667,0.45,0.525,0.4846153846153846,0.11666666666666664,1351680,34113,0.009964412311092019
E10,10,3-19,713103,2,leo_low_elev_weak,0.6416666666666667,0.55,0.45,0.49500000000000005,0.09166666666666667,1351680,34113,0.008616602281108499
E10,10,3-19,713103,2,leo_rain_weak,0.6166666666666667,0.55,0.425,0.47948717948717945,0.06666666666666665,1351680,34113,0.00823599984869361
E10,10,3-19,713103,20,leo_clear_weak,0.75,0.65,0.725,0.6854545454545454,0.09999999999999998,9461760,86529,0.1833626680308953
E10,10,3-19,713103,20,leo_low_elev_weak,0.7583333333333333,0.6916666666666667,0.525,0.5969178082191781,0.06666666666666665,9461760,86529,0.04593989870045334
E10,10,3-19,713103,20,leo_rain_weak,0.7416666666666667,0.6916666666666667,0.525,0.5969178082191781,0.050000000000000044,9461760,86529,0.03726996947079897
E10,10,3-19,713103,5,leo_clear_weak,0.6666666666666666,0.575,0.6,0.5872340425531916,0.09166666666666667,2703360,42849,0.010278209811076522
E10,10,3-19,713103,5,leo_low_elev_weak,0.7,0.6083333333333333,0.5,0.5488721804511277,0.09166666666666667,2703360,42849,0.008707999950274825
E10,10,3-19,713103,5,leo_rain_weak,0.6833333333333333,0.6,0.55,0.5739130434782609,0.08333333333333337,2703360,42849,0.008485454600304365
E10,10,3-19,713104,1,leo_clear_weak,0.6416666666666667,0.5166666666666667,0.35,0.4173076923076923,0.125,901120,31201,0.008259108290076256
E10,10,3-19,713104,1,leo_low_elev_weak,0.6333333333333333,0.625,0.1,0.1724137931034483,0.008333333333333304,901120,31201,0.007137854117900133
E10,10,3-19,713104,1,leo_rain_weak,0.5583333333333333,0.475,0.475,0.47500000000000003,0.08333333333333337,901120,31201,0.006131487316451967
E10,10,3-19,713104,10,leo_clear_weak,0.7,0.6666666666666666,0.425,0.5190839694656489,0.033333333333333326,4956160,57409,0.041956681525334716
E10,10,3-19,713104,10,leo_low_elev_weak,0.7416666666666667,0.6666666666666666,0.5,0.5714285714285715,0.07500000000000007,4956160,57409,0.028071401175111532
E10,10,3-19,713104,10,leo_rain_weak,0.6833333333333333,0.5833333333333334,0.525,0.5526315789473685,0.09999999999999998,4956160,57409,0.0711317639797926
E10,10,3-19,713104,2,leo_clear_weak,0.65,0.625,0.075,0.13392857142857142,0.025000000000000022,1351680,34113,0.028526174719445407
E10,10,3-19,713104,2,leo_low_elev_weak,0.65,0.5833333333333334,0.475,0.5236220472440946,0.06666666666666665,1351680,34113,0.008430882007814944
E10,10,3-19,713104,2,leo_rain_weak,0.6,0.5333333333333333,0.325,0.40388349514563104,0.06666666666666665,1351680,34113,0.009060747106559575
E10,10,3-19,713104,20,leo_clear_weak,0.7833333333333333,0.7166666666666667,0.6,0.6531645569620254,0.06666666666666665,9461760,86529,0.11184547911398113
E10,10,3-19,713104,20,leo_low_elev_weak,0.7666666666666667,0.6916666666666667,0.55,0.612751677852349,0.07500000000000007,9461760,86529,0.17223971080966294
E10,10,3-19,713104,20,leo_rain_weak,0.7166666666666667,0.6333333333333333,0.6,0.6162162162162161,0.08333333333333337,9461760,86529,0.16452590352855623
E10,10,3-19,713104,5,leo_clear_weak,0.75,0.675,0.325,0.43875000000000003,0.07499999999999996,2703360,42849,0.014662722242064774
E10,10,3-19,713104,5,leo_low_elev_weak,0.725,0.6333333333333333,0.45,0.5261538461538462,0.09166666666666667,2703360,42849,0.008555006934329867
E10,10,3-19,713104,5,leo_rain_weak,0.6916666666666667,0.6416666666666667,0.425,0.511328125,0.04999999999999993,2703360,42849,0.02702702477108687
E10,10,3-19,713105,1,leo_clear_weak,0.5583333333333333,0.45,0.5,0.4736842105263158,0.10833333333333334,901120,31201,0.009080301970243454
E10,10,3-19,713105,1,leo_low_elev_weak,0.6666666666666666,0.5416666666666666,0.475,0.5061475409836065,0.125,901120,31201,0.007430993719026446
E10,10,3-19,713105,1,leo_rain_weak,0.7166666666666667,0.5916666666666667,0.45,0.5112,0.125,901120,31201,0.008022919064387679
E10,10,3-19,713105,10,leo_clear_weak,0.7083333333333334,0.65,0.625,0.6372549019607844,0.05833333333333335,4956160,57409,0.039087963523343205
E10,10,3-19,713105,10,leo_low_elev_weak,0.775,0.7083333333333334,0.5,0.5862068965517241,0.06666666666666665,4956160,57409,0.09107711666729301
E10,10,3-19,713105,10,leo_rain_weak,0.7583333333333333,0.7083333333333334,0.6,0.6496815286624203,0.04999999999999993,4956160,57409,0.06293757178355008
E10,10,3-19,713105,2,leo_clear_weak,0.5083333333333333,0.475,0.5,0.48717948717948717,0.033333333333333326,1351680,34113,0.009860008140094578
E10,10,3-19,713105,2,leo_low_elev_weak,0.6166666666666667,0.5416666666666666,0.5,0.52,0.07500000000000007,1351680,34113,0.008305543451569974
E10,10,3-19,713105,2,leo_rain_weak,0.7166666666666667,0.625,0.525,0.5706521739130436,0.09166666666666667,1351680,34113,0.008542410796508193
E10,10,3-19,713105,20,leo_clear_weak,0.7666666666666667,0.7166666666666667,0.65,0.6817073170731708,0.050000000000000044,9461760,86529,0.07106064294930547
E10,10,3-19,713105,20,leo_low_elev_weak,0.7666666666666667,0.675,0.6,0.6352941176470589,0.09166666666666667,9461760,86529,0.057868726435117424
E10,10,3-19,713105,20,leo_rain_weak,0.7916666666666666,0.7333333333333333,0.625,0.6748466257668712,0.05833333333333335,9461760,86529,0.029846999677829444
E10,10,3-19,713105,5,leo_clear_weak,0.7,0.6,0.55,0.5739130434782609,0.09999999999999998,2703360,42849,0.009714951738715172
E10,10,3-19,713105,5,leo_low_elev_weak,0.7333333333333333,0.65,0.45,0.5318181818181819,0.08333333333333326,2703360,42849,0.00811413920018822
E10,10,3-19,713105,5,leo_rain_weak,0.75,0.6916666666666667,0.575,0.6279605263157894,0.05833333333333335,2703360,42849,0.00811658101156354
E10,10,7-14,713101,1,leo_clear_weak,0.8916666666666667,0.9,0.675,0.7714285714285714,-0.008333333333333304,901120,31201,0.008363643428310752
E10,10,7-14,713101,1,leo_low_elev_weak,0.725,0.725,0.65,0.6854545454545454,0.0,901120,31201,0.007329994696192443
